sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A3/A3ez-A3ey,1409218,-0.09384923176067832,0.3266511962123629,0.013243059108464798,1.770418595322917e-16,0.23407366278666372,-0.06728254332898333,0.0002846170716143282,0.00046775197058856734,4.512345034240195e-17,-0.0
A3-A3ad-A3fb,1409220,-0.28675974987581315,-0.0907529460335592,0.06913174598912955,2.156957525133083e-16,0.018235396637267802,0.1239286928667518,-0.16241198815499577,0.0031588198984177887,3.602082247104015e-17,-0.0
A4ac/A3-A4eo,1409219,-0.06749961471770291,0.018876766158681342,-0.5585355659833476,4.2872777262968277e-17,-0.03132025608572792,0.002499519867729543,1.1837832115514899e-05,6.266838005452033e-05,2.7704683845209505e-17,-0.0
A3/A3g,1408676,-0.28525680582946716,-0.08974853468077622,0.0673191256822582,-3.0726494696555573e-17,0.028991949735306603,0.15503006185068993,0.14083320070189634,0.0025721236776205434,1.1383346055413002e-17,-0.0
A3bb/A3bt,1409083,0.6401399163859152,-0.25894076516896386,0.034182308283774485,0.2609511952440239,0.019504571987720803,-0.005899582229105685,2.630505569311078e-05,4.6624286141625415e-05,3.802480591348791e-17,-0.0
A3-A3u,1408716,-0.29815252520081015,-0.09835022354228495,0.08277596711801664,4.742821157784853e-17,-0.05778439372070245,-0.08160368128594553,0.007644312315269918,0.05970916136004287,-0.08965910340896582,-0.0
A3ez,1409525,0.3464101310888288,0.6471617838246304,0.0934404055951706,8.312589668961719e-17,-0.12058044441972612,0.03244154829462553,-0.0001286788636645466,-0.0001929767580321884,2.994046247903785e-17,-0.0
A3-A3fa,1409209,-0.29815252520081015,-0.09835022354228495,0.08277596711801664,1.6548636832425896e-17,-0.057784393720702466,-0.08160368128594545,0.007644312315269934,0.05970916136004297,0.08965910340896585,-0.0
A3bt,1409498,0.6401399163859153,-0.25894076516896364,0.03418230828377442,-0.26095119524402377,0.019504571987720938,-0.005899582229105644,2.6305055692979298e-05,4.6624286141666906e-05,3.482926271862094e-17,-0.0
A3/A3ah,1408987,-0.2970195112753779,-0.09760628805884328,0.08148467880474176,-5.4206294045841315e-17,-0.05284066518781881,-0.07161075252071195,0.006069776671109442,-0.12557995846101763,8.172627359843076e-17,-0.0
proportion_explained,0,0.49247931054601457,0.2511811381448772,0.12569386435851437,0.04851325250738048,0.029108157317651595,0.02261760719835268,0.01651605638925453,0.008163568549529685,0.0057270449884248165,0.0
