sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
KBR1,231560,-0.15329605436445293,0.014056981379703187,-0.0008966044995163914,0.03596998816901637,-0.23477702992605703,-0.014051012112143609,-0.01848232794470886,0.06816685887925265,0.047135650357268834,-0.05403558126229653,-0.0914244469777354,0.06545547269400176,-0.06706080475838437,0.017143687295447744,-0.018594790969955453,0.08573265324041687,-0.019971545483999875,0.0020536454908968798,-0.031977914675864964,0.021866614941484692,0.006510799000311495,-0.019542888091029824,-0.017011850830400223,-0.002572155343019236,0.00012694423462246592,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR2,231561,-0.21860003364135935,-0.09439273744273126,0.005058762861211775,0.055515626570659886,-0.14999815379581105,-0.04370349822428911,0.03385080344607138,-0.04476263907069735,-0.006220421696805873,-0.0007807878501122003,0.05357775222366535,-0.013479128825823009,0.026067123795805947,-0.008885417930726952,-0.02221657385653203,-0.04966755611068689,0.011712666490234894,0.012397937696223372,0.00992391425068101,-0.0009691901269782356,0.014171446866699798,-0.0030277021158467915,-0.01666327590261733,-0.015690609734635073,0.010898540638924056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR3,231562,-0.2145060915802162,-0.08823122682606982,0.004542951992645484,0.054079234671101005,-0.168949750807434,-0.04433416363733556,0.035321491492886166,-0.042032573054094566,0.00362302915206496,-0.019475968801509938,0.04412702792339209,0.004352896839937263,0.016094721805253495,0.0013928297231078277,-0.04094529677970051,-0.04543961014900246,0.023368559922485443,0.01268093709177197,0.011222785496416149,-0.012549059673606044,-0.004980783369856644,-0.009230429053552923,0.005095542688897757,0.012712090892394627,-0.0105051790029626,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR4,231563,-0.19143605421734514,-0.018882549420210618,0.0028347278164932207,0.07321036866713766,-0.18649412432834656,-0.05881908260533069,0.019209458328565913,0.004079911422289648,0.041865088077202524,-0.0525418644401895,-0.041050840606720686,0.02011232558641557,-0.007013165557700369,-0.008039894582344314,0.009094799822398057,0.02375367365431959,0.0338518524684866,-0.017716575092313558,-0.019547873818301514,-0.02696767689916945,0.009069788993899265,0.025291522193196084,0.026025394504013272,0.0026881634652807167,0.0017130696043018596,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR5,231564,-0.22556149423795532,-0.10429820919202136,0.00568060593205602,0.047699347875927965,-0.1619513249445455,-0.003687826484113645,-0.001949479572042682,0.005930251503474891,-0.041330190310148646,0.037289994914707504,0.035232452685666486,-0.007848740295825676,0.0017284735467064118,-0.004205554411428555,-0.0278815062946422,-0.030568963648022796,-0.017021572788242116,0.007345510558505072,0.024021108752702212,0.006424900239424768,-0.00889645918031899,0.01221520792220557,0.01362939122438663,0.008968552778648598,0.0061554045130872434,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR6,231565,-0.22548348125442522,-0.10451551455366695,0.005692501720187284,0.047377415636344664,-0.16039955995238583,-0.00316515662478291,-0.002178475291378355,0.005235529229990892,-0.04252181040996429,0.03975595378533138,0.03750990541022632,-0.009160683464273412,0.0028489530459440545,-0.0038841650134710842,-0.028519071440838283,-0.03313831309923089,-0.019300811983957715,0.010059205005960576,0.025915149041994177,0.011083153583070857,-0.011732286908329418,-0.007969998776487925,-0.016312898494016473,0.004456385898357763,-0.006986917355568736,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR7,231566,-0.22190096977441973,-0.10914913220578862,-0.0019559730721507252,0.054661898320195454,-0.15641645778504343,-0.007991813276215958,-0.026048869138455357,0.04377837984102045,-0.024181056986221146,0.0365425336764742,-0.03443320835602357,-0.012616302787045952,0.0008160819831058502,-0.03689731533806403,0.05239252694435322,0.0371474596939423,-0.011440172359113621,-0.04061604678369357,-0.00892357519544221,0.007874177622772672,-0.0009075560657529603,0.006847696469368783,0.006869165084838311,-0.0043294317387432505,-0.0005582147168288813,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL1,231567,0.3590651229243781,-0.10989683864763122,-0.22652834860626464,0.0558136309499716,-0.003161945801976683,0.039831722175549394,-0.040162545897914646,0.05876438092761522,-0.04098113895409757,-0.01293622440917574,0.06599163671912749,0.05857734399099024,-0.014864854889760692,0.03978803895856234,0.02611393678263027,-0.07500836710681714,-0.01021096622487984,0.027124304705095238,-0.09995743914168743,0.006068765089250661,0.009236672288624228,0.007280523486013798,-0.0007986197978137429,0.006120841639743116,-0.00028841206259276635,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL2,231568,0.3452521911848433,-0.10900204301950585,-0.19468372772864145,0.0402944793785717,-0.008036412002387514,0.055624823594204606,-0.0007552225135500904,-0.05071731665499578,0.021886852650718436,0.019912013551198603,-0.04190701534831888,-0.10796203205035021,0.037094157105350085,0.026936404865014037,-0.1080501285526969,0.05663093207489178,-0.04135658031788186,0.0264388811831698,-0.019827738638661687,0.013110054811654715,-0.023078513157801815,0.00030665665350413567,0.010236775648916976,0.0007205464060210537,0.0022366499479706914,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL3,231569,0.41653382447374704,-0.10094225661301921,-0.2201225843864936,0.0938078861071811,0.007746853628646716,0.012165824439146935,-0.02927881286266632,0.04462741427949551,-0.03657786058031025,-0.002084138755619821,0.14064202292646125,0.06774062990934848,-0.009586094427915953,0.011707187998439183,-0.018171519619183993,0.06649942446931151,0.009872318797591562,-0.025311183291776913,0.05629063143385627,-0.014592040361151342,0.009645773378064906,-0.014629319317856833,0.008215948211716173,-0.01302706886499588,-0.0004252903628107889,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
