sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
KBR1,231560,-0.014845620110552156,0.006229274909391181,0.006049676562589631,0.00111707218607932,-0.01559399014998824,0.003919537495667544,-0.0051686995671900195,0.0007654703933164152,-0.0008030581289490414,0.011041792892056233,-5.220716477744173e-05,0.014258732292096291,-0.007535779168552512,0.0009708173372765348,-0.0011754186528881807,0.001236596861609543,0.0006512256747878674,0.0010560336896298006,-0.001565427272817709,-0.0016966788320631992,-0.0006908323630120712,-3.318125702784625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR2,231561,-0.02388944916044594,0.0044133981453262005,0.006574287442861594,0.005876749642356403,-0.015399850502632163,0.0017346968775879446,-0.009502566066403394,0.004549084192924047,0.0007239832571132343,-0.0055791276817274,-0.0021394302458697945,-0.005264245040394734,0.0017790779125276075,-0.0019835218013585032,9.860399757131436e-05,-0.0006243779980753206,0.0012781491758286957,-4.0841136115176406e-05,-0.0004103920440287375,0.0004236936319659988,-0.0009602874487130169,-0.0006795250616084599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR3,231562,-0.025651958747626432,0.004860373467036027,0.007921272160918343,0.007117035563827617,-0.01814353771432869,0.0021365719032871286,-0.011863057080201432,0.005396796540755375,0.000995824361533194,-0.0047922779461866275,-0.0031769015972184823,-0.003369124180874925,0.0004987889333985772,-0.0020542875431288944,6.60638957983204e-05,-0.000548840330105862,0.002046364865429597,0.0006492937653292816,-0.0008233022369958543,0.000501495662486596,-0.00015442981156721885,0.0006529959899168736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR4,231563,-0.016107660804382258,0.00464731142278374,0.003391400778232442,-0.0018302779678196887,-0.009625217863837819,0.002952292214809198,-0.0021729241656553706,0.0013283134165086598,-0.0016992221411051335,0.0033666869389236726,0.0009885800480305884,0.003801224902234975,-0.002959024620948712,-0.005346648234931154,-0.0025078481704056787,-0.0003838059230118398,0.003497280268418463,-0.0002612764513136748,0.0002109982179932167,0.0023520452288548696,-0.000266337317169367,-0.0001285332759692516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR5,231564,-0.022983808173229654,0.004777138189101022,0.005067715063134896,0.006782143054697478,-0.016390652197550006,0.001908432871375433,-0.008282487509913651,0.0035537624928635267,0.0007419090240371515,-0.0017690040190294805,-0.0020833236788547916,-0.0017910468846974417,0.0005887811230748916,0.004054274660618121,0.0008864357746003802,0.0005823008503067542,-0.0027493833231721763,0.0003851074584325457,0.0006938405363653836,-0.0006792180355126735,0.0006545155602509761,-0.0010194403665517075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR6,231565,-0.023292178160396793,0.00482511852782583,0.005249162094949168,0.007012010044345138,-0.016497358324157947,0.0018284302066894544,-0.008570476887056347,0.0036558723482644686,0.0009003660266542928,-0.002587005859733615,-0.002404367192813751,-0.003188842686389685,0.001458633087582982,0.0044116056089310305,0.0013810793304698376,0.0004130322153898701,-0.003114024422176325,0.0003509507296843772,0.0007006069565728231,-0.0009453564091259284,0.000555251184377314,0.0009108642261199589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBR7,231566,-0.011111858302699035,0.002762439603798446,-0.0007999708755905254,0.0003640206343776475,-0.006544384360180588,0.0016238351059737971,0.0018264750706500205,-0.00020063042719110506,-0.001720515053815786,0.002751740971444889,0.001714902926682185,0.00011449805365658165,-0.0008464115053484604,-0.0007147058620976788,-0.0019134391041203307,0.0005462770426911652,-0.001694628099080562,-0.00044789758659878425,0.003172076003043484,0.00107304739205451,0.0024825511693952543,0.000235870537889649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL1,231567,-0.03213276019450167,-0.03265343383973485,-0.01020542528317791,0.010158992425138793,-0.001934647638461,0.02279223672055446,0.009765618322361776,0.0011780648716991564,0.000584551569264671,0.0067020071407174675,0.0051781569740944645,-0.004211937212698561,0.0016466142577514057,0.0038046064137299616,0.0038997873918437767,0.0004150922892147434,-0.002485830263839283,-0.0056505880729625785,-0.00038251630207001235,-0.00028626953579042664,-0.0005918337191474878,-5.130985025970746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL2,231568,-0.03869379290819857,-0.031457740344772354,-0.03558925786906044,0.004008963250825657,0.0014600957243391466,-0.012496617350019033,-0.010375818527852769,0.0030352708123172773,-0.01668491594533627,-0.0052304723186251964,0.012008685647157975,0.00178147901610713,-0.0037381211681515795,-0.0004003611038326678,-7.869855062708268e-05,0.0012926518931120998,-0.00173371405073456,-0.002069627305418079,0.000784846073251514,8.95844066763902e-05,8.46063625666915e-05,2.3479769027403637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL3,231569,-0.03806379632046806,-0.028655392853980534,-0.03783289495841749,0.005624088951909989,0.0009784676028278655,0.014027174175895924,0.0045627451839491155,-0.002786729445248627,0.013525929962479097,-0.008490166375285007,-0.001134838758491946,0.00269514791292875,-0.000626090671437386,0.0004542943491086975,-0.006096446892857468,0.0009141780254542398,0.0007461432967054962,0.003651783768363236,0.00014632885830173124,0.00018793450459087357,0.000691213074116102,-0.00011991684797329645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL4,231570,-0.012078601109246526,-0.06596841668717571,0.007638628202256132,-0.027543482353812043,0.003415432550563219,-0.01671728780568786,-0.0072618088249013215,-0.002196792819100329,0.0009439282204399397,-0.0016709707142692509,-0.0038263062824304746,0.00015025255036420554,0.000526728330694248,-0.0006723760829129769,-0.0011208298482191822,-0.0008024028928554431,0.0005650948171064268,0.0015258420487572466,-0.00028009394983201846,-4.971641763377386e-05,3.672716531562406e-05,-8.467976044602863e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL5,231571,0.30403994514712046,-0.06418721995897586,0.038021142852269776,-0.014060184374663871,0.00011091491007966488,0.004510470011697247,0.0026303620909976753,-0.0014157242536957085,0.0016272166127118178,0.000794412060670449,0.0008106067293896248,-0.0001326265975573405,-0.00015335917397688714,0.0013021334733498105,0.0004424913344204062,9.610107059881509e-05,-0.0007243325397766938,-0.0004764749204537743,0.0001129077212156362,-7.193349515615633e-05,3.0145366495342362e-05,2.542845148681553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBL6,231572,0.5260038093075312,0.04038963229725515,-0.02496658146252065,0.006429781088755894,0.0008276747573326908,-0.001948832457722595,-0.000387541420017964,0.0008628553266346301,-0.0010811134667140945,-0.00070540935557958,-0.00016219722189564917,-0.00031066547885990356,0.00019482759722641753,-0.0007844937984551617,-0.0002789863597781847,5.516277284809292e-06,0.0003202048623500277,0.00017711627031133983,-9.965522534014022e-06,5.643395354380282e-05,-4.491218213652944e-06,-3.4425928168202545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
