sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A3/A3ez-A3ey,1409218,-0.05180452998338883,0.020389759723647528,-0.0062462642017275935,0.01824716520349045,-2.358097850147433e-05,-8.179911925220983e-05,-3.1060178590745786e-05,0.00016007551837109635,-0.0,0.0
A3-A3ad-A3fb,1409220,-0.04037335098296223,0.000540611739436562,0.013637333787651633,0.0005189275528451017,-0.013677302635953398,-0.0013150315515276774,-0.00033687025821925806,0.0011701700635919426,-0.0,0.0
A4ac/A3-A4eo,1409219,0.4280249274848379,3.511389146255358e-06,-0.0009078799557935629,-0.0001766603597972935,2.913700392718361e-05,-7.349547804603922e-05,-2.3225654088765276e-05,9.76047928147274e-05,-0.0,0.0
A3/A3g,1408676,-0.040624740426938255,0.0005258803152634338,0.015451541633154823,0.0010049788046105393,0.012465110159385407,-0.0013005855677413539,-0.00033942197897627566,0.0011921201165899236,-0.0,0.0
A3-A3u,1408716,-0.03570499453799354,0.0005179093524384001,-0.0014987749817589246,-0.0023385249032159185,0.00018852542025442188,-0.0033183140627280503,0.008239370963246579,-0.0026854508036700453,-0.0,0.0
A3-A3fa,1409209,-0.035376596800639544,0.0005170245742034519,-0.0020892250388611484,-0.00243636084456723,0.00022262326958152098,-0.003066177809084561,-0.006986515621222751,-0.004073963442752328,-0.0,0.0
A3/A3ah,1408987,-0.03676624858450794,0.0005212267081176977,0.0006173713170053622,-0.00199643521841205,4.600378751321694e-05,0.011399203942532866,0.0002808003057861264,-0.00047083134528514494,-0.0,0.0
A3ez,1409525,-0.0695846149131974,0.042255301222428626,-0.006112052415640212,-0.01016491543235132,0.00028310331202380663,-0.0006043489737188958,-0.00018664085169889003,0.0007628728719600537,-0.0,0.0
A3bb/A3bt,1409083,-0.04820669727279242,-0.02093629253406003,-0.008467530175869988,-0.0024651334454455177,0.0004187116322383152,-0.001996813341000408,-0.0008227196289074459,0.0058788758759986065,-0.0,0.0
A3bt,1409498,-0.06958315398241738,-0.04433493249062212,-0.004384519968160767,-0.0001930413571558778,4.766902953084502e-05,0.00035736196056627165,0.00020628290267175298,-0.0020314736476169347,-0.0,0.0
proportion_explained,0,0.9699609201491646,0.021790064133745787,0.002837386702544208,0.0021716515208071996,0.0016214982293824027,0.0007486441914377286,0.0005570424079183772,0.00031279266499966384,0.0,0.0
